GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hr-ms,com.talenteo.hr.service,CompanyService,197,47,4,0,36,5,10,5,8,5
hr-ms,com.talenteo.hr.service,AddressService,64,10,0,0,14,2,3,2,3,2
hr-ms,com.talenteo.hr.service,HumanResourceService,1005,451,27,11,197,93,60,24,45,20
hr-ms,com.talenteo.hr.service,NotificationRemote,5,6,0,0,2,1,1,1,1,1
hr-ms,com.talenteo.hr.service,OAuthRemote,71,13,4,0,14,2,9,2,7,2
hr-ms,com.talenteo.hr.service,CompanyEntityService,132,35,0,0,24,4,7,4,7,4
hr-ms,com.talenteo.hr.service,SearchRemote,5,6,0,0,2,1,1,1,1,1
hr-ms,com.talenteo.hr.service,SalaryHistoryService,14,45,0,0,3,8,1,6,1,6
hr-ms,com.talenteo.hr.service,VerificationTokenService,7,10,0,0,2,2,1,2,1,2
hr-ms,com.talenteo.hr.service,ValidationService,106,236,6,8,19,38,14,22,9,20
hr-ms,com.talenteo.hr.config,HrProperties,176,99,48,6,0,7,36,8,9,8
hr-ms,com.talenteo.hr.converter,AddressConverter,32,28,7,1,1,10,8,2,4,2
hr-ms,com.talenteo.hr.converter,SalaryHistoryConverter,32,29,7,1,1,10,8,2,4,2
hr-ms,com.talenteo.hr.converter,CompanyEntityDtoConverter,32,35,7,1,1,11,8,2,4,2
hr-ms,com.talenteo.hr.converter,HumanResourceRequestConverter,5,89,2,2,1,23,2,4,0,4
hr-ms,com.talenteo.hr.converter,HumanResourceDtoConverter,79,9,7,1,16,3,8,2,4,2
hr-ms,com.talenteo.hr.converter,CompanyConverter,32,40,7,1,1,14,8,2,4,2
hr-ms,com.talenteo.hr.converter,CompanyDtoConverter,32,37,7,1,1,13,8,2,4,2
hr-ms,com.talenteo.hr.converter,CompanyRequestConverter,69,0,8,0,14,0,10,0,6,0
hr-ms,com.talenteo.hr.converter,CompanyEntityConverter,32,35,7,1,1,11,8,2,4,2
hr-ms,com.talenteo.hr.converter,VerificationTokenConverter,56,0,8,0,9,0,10,0,6,0
hr-ms,com.talenteo.hr.converter,SalaryHistoryRequestConverter,63,0,8,0,11,0,10,0,6,0
hr-ms,com.talenteo.hr.converter,AddressRequestConverter,61,0,8,0,11,0,11,0,7,0
hr-ms,com.talenteo.hr.converter,AddressDtoConverter,32,28,7,1,1,10,8,2,4,2
hr-ms,com.talenteo.hr.converter,HumanResourceConverter,32,100,7,1,1,23,8,5,4,5
hr-ms,com.talenteo.hr.converter,CompanyEntityRequestConverter,64,0,8,0,11,0,10,0,6,0
hr-ms,com.talenteo.hr.converter,VerificationTokenRequestConverter,53,0,8,0,8,0,10,0,6,0
hr-ms,com.talenteo.hr.converter,HumanResourceLightConverter,78,0,8,0,17,0,10,0,6,0
hr-ms,com.talenteo.hr.api,SalaryResource,31,49,0,0,4,9,1,6,1,6
hr-ms,com.talenteo.hr.api,CompanyEntityResource,76,36,0,0,16,5,5,5,5,5
hr-ms,com.talenteo.hr.api,HRResource,410,166,0,0,83,27,30,13,30,13
hr-ms,com.talenteo.hr.api,CompanyResource,105,47,0,0,20,8,8,6,8,6
hr-ms,com.talenteo.hr.api,AddressResource,30,40,0,0,7,6,2,3,2,3
hr-ms,com.talenteo.hr.api,VerificationTokenResource,13,10,0,0,3,2,1,2,1,2
